
a,b,c,d,upper,f,g,h,tfidf,key,label
0.0,0.0,0.8,0.2,0.019573838685302703,0.182,0.471,0.0,0.019573838685302703,"Although this is a global crisis, many countries and cities have successfully prevented or controlled transmission with a comprehensive, evidence-based approach.",1
1.0,0.0,-0.05,0.167,0.01423640082134037,0.273,0.545,0.0,0.01423640082134037,"For the first time, the world has rallied behind a plan to accelerate the development of the vaccines, diagnostics and therapeutics we need, and to ensure they are available to all countries on the basis of equity.",0
0.0,0.0,1.0,0.143,0.027734561204168038,0.182,0.504,0.625,0.027734561204168038,The Access to COVID-19 Tools (ACT) Accelerator is delivering real results.,0
1.0,0.0,1.0,0.125,0.032933671270110966,0.182,0.516,0.125,0.032933671270110966,"Second, we must not backslide on our critical health goals.",1
0.0,0.0,1.0,0.125,0.020310122129825237,0.273,0.549,0.125,0.020310122129825237,"The COVID-19 pandemic is a sobering reminder that health is the foundation of social, economic and political stability.",0
0.0,0.0,0.45,0.143,0.01865282259808212,0.091,0.569,0.125,0.01865282259808212,"It reminds us why WHO’s ‘triple billion’ targets are so important, and why countries must pursue them with even more determination, collaboration and innovation.",0
0.0,1.0,-0.35,0.167,0.013112206536110366,0.091,0.762,0.875,0.013112206536110366,"Since May, Member States have adopted a number of decisions – the Immunization Agenda 2030, the Decade of Healthy Ageing 2020-2030, as well as initiatives to tackle cervical cancer, tuberculosis, eye care, food safety, intellectual property and influenza preparedness.",1
0.0,1.0,-0.8,0.2,0.011407809156560717,0.364,0.894,1.0,0.011407809156560717,"The resumed session will discuss a 10-year-plan for addressing neglected tropical diseases, as well as efforts to address meningitis, epilepsy and other neurological disorders, maternal infant and young child nutrition, digital health, and the WHO Global Code of Practice on the International Recruitment of Health Personnel, adopted in 2010.",0
1.0,0.0,1.0,0.25,0.029358206959009734,0.091,0.427,0.0,0.029358206959009734,"Third, we must prepare for the next pandemic now.",1
0.0,0.0,0.4,0.333,0.013608008354468045,0.182,0.667,0.25,0.013608008354468045,We’ve seen this past year that countries with robust health emergency preparedness infrastructure have been able to act quickly to contain and control the spread of the SARS-CoV-2 virus.,0
0.0,1.0,0.15,0.5,0.013312622482314731,0.364,1.0,0.875,0.013312622482314731,"The WHA will consider a draft resolution (EB146.R10) that strengthens Member States’ preparedness for health emergencies, such as COVID-19, through more robust compliance with the International Health Regulations (2005).",0
0.0,0.0,0.5,1.0,0.014587493578165953,0.364,0.53,0.125,0.014587493578165953,This resolution calls on the global health community to ensure that all countries are better equipped to detect and respond to cases of COVID-19 and other dangerous infectious diseases.,0
0.0,0.0,1.0,1.0,0.022516607602070214,1.0,0.427,0.2,0.022516607602070214,"
Ensuring Cambodia has supplies and access to COVID-19 tools.",0
0.0,0.0,0.6,0.5,0.017861269008703436,0.286,0.688,0.3,0.017861269008703436,"“As long as the virus continues to circulate anywhere, no country and no one is safe, including in Cambodia,” said Dr. Li.",1
0.0,0.0,-0.65,0.333,0.012806902128398294,0.429,1.0,0.4,0.012806902128398294,"“We must continue to detect, test, isolate and care for patients, and trace and quarantine their contacts—and to do this we must have sufficient diagnostics, PPE, and medical equipment.” Beyond procuring supplies, WHO and the UN system are also strengthening the global supply chain.",1
0.0,0.0,0.5,0.25,0.01666892468334528,0.714,0.674,0.9,0.01666892468334528,"The COVID-19 Supply Chain System, coordinated by WHO and the World Food Programme, was established to significantly scale up and speed the delivery of essential COVID-19 supplies.",0
0.0,1.0,0.35,0.2,0.015532933376483515,0.714,0.815,0.7,0.015532933376483515,"As of 13 August, 83 countries, including Cambodia, had submitted 383 requests for supplies with a total estimated value of US $163 million through the COVID-19 Supply Portal.",0
0.0,0.0,0.9,0.167,0.01777251150083099,0.571,0.532,0.1,0.01777251150083099,"In addition to medical, lab and PPE supplies, fair access to tools such as treatments and vaccines is vital.",0
0.0,0.25,0.15,0.143,0.0145163577354011,0.857,0.833,0.8,0.0145163577354011,"On 24 April, WHO launched the Access to COVID-19 Tools (ACT) Accelerator, which is a global collaboration to accelerate development, production and equitable access to COVID-19 tests, treatments and vaccines.",1
0.0,0.0,0.5,0.125,0.016265558404984722,0.143,0.555,0.6,0.016265558404984722,"COVAX Facility, the vaccines pillar of the ACT-Accelerator co-led by WHO, Gavi and CEPI, is speeding up the search for an effective vaccine for all countries.",0
0.0,0.5,0.1,0.125,0.015759395708810447,0.286,0.588,0.0,0.015759395708810447,"At the same time, it is supporting the building of manufacturing capabilities, and buying supply ahead of time so that 2 billion doses can be?rapidly and equitably distributed by the end of 2021.",0
0.0,0.0,0.9,0.143,0.04238577614439037,0.143,0.342,0.0,0.04238577614439037,Vaccines are a global public health good.,0
0.0,0.0,0.35,0.167,0.012371166216401367,0.143,0.761,0.6,0.012371166216401367,"When a safe and effective vaccine is available, Gavi’s COVAX Advance Market Commitment (AMC), will be used to pay for the doses allocated to developing countries.",0
0.0,0.0,0.95,0.2,0.034674474522968395,0.286,0.383,0.3,0.034674474522968395,Cambodia is eligible to receive COVAX AMC support.,0
0.0,0.0,-0.25,0.25,0.010766060954321118,0.857,0.982,1.0,0.010766060954321118,"In addition to accelerating research and ensuring manufacturing capacity for COVID-19 vaccines, WHO has supported the Royal Government of Cambodia to strengthen its regulatory capacity, draft a COVID-19 National Deployment and Vaccination Plan (NDVP) and assess immunization supply chain management.",1
0.0,0.0,0.95,0.333,0.018090224406819965,0.286,0.356,0.0,0.018090224406819965,This planning will be essential to get a successful COVID-19 vaccine to priority groups in an equitable and effective manner.,0
0.0,0.0,0.9,0.5,0.019858771173214475,0.429,0.474,0.1,0.019858771173214475,"WHO and partners continue to work with suppliers to secure commitments for supplies needed for COVID-19 prevention, preparedness and response.",0
0.0,0.0,1.0,1.0,0.018759724857303726,0.429,0.642,0.2,0.018759724857303726,This work is crucial in order to minimize the risk of COVID-19 infection and protect public health in Cambodia.,0
0.0,0.0,1.0,1.0,0.030670271454149956,1.0,0.432,0.214,0.030670271454149956,New Zealand takes early and hard action to tackle COVID-19.,1
0.0,1.0,0.15,0.5,0.013222516813772657,0.375,0.648,0.214,0.013222516813772657,"Three days after WHO declared the coronavirus outbreak a public health emergency of international concern on 30 January 2020, New Zealand began introducing disease prevention measures and continued strengthening them in the weeks that followed.",1
0.0,0.0,1.0,0.333,0.022874741408316204,0.125,0.213,0.143,0.022874741408316204,He says their strategy was influenced by a report from the WHO–China joint mission in February.,0
0.0,0.0,0.7,0.25,0.021857687873067244,0.125,0.581,0.143,0.021857687873067244,"“This report, including the observation that, ‘the key learning from China is speed – it’s all about the speed.",0
0.0,0.0,-0.5,0.2,0.017129191030705676,0.5,0.786,0.286,0.017129191030705676,"The faster you can find the cases, isolate the cases, and track their close contacts, the more successful you’re going to be,’ helped influence New Zealand’s strategy to ‘go early and go hard’,” says Dr Bloomfield.",0
0.0,0.0,0.55,0.167,0.016062553846077587,0.5,0.633,0.357,0.016062553846077587,"Observing the spiralling epidemic and its devastating impacts in Europe, he says the Government was “determined to minimize the impact of COVID-19” in New Zealand.",0
0.0,0.0,1.0,0.143,0.03314882752606808,0.125,0.276,0.143,0.03314882752606808,"From late February through March, the country progressively tightened restrictions.",0
0.0,0.0,0.75,0.125,0.020059277821960965,0.125,0.466,0.0,0.020059277821960965,"“It was recognized that implementing this strategy would have significant economic costs, but so would a major outbreak,” he explains.",0
0.0,0.5,-1.4,0.111,0.008667958492538805,0.625,1.0,0.857,0.008667958492538805,"“So New Zealand took a precautionary approach and on 26 March, apart from essential workers, the entire country was required to self-quarantine at home.” WHO Regional Director for the Western Pacific, Dr Takeshi Kasai, explains that New Zealand combined strict physical distancing with strong testing, contact tracing, clinical management of those infected, and clear and regular public communication.",1
0.0,0.0,1.0,0.1,0.041151600828326876,0.125,0.213,0.0,0.041151600828326876,The country also took steps to cushion the economic blow.,0
0.0,0.0,0.85,0.111,0.018243609196118116,0.375,0.662,0.214,0.018243609196118116,"“New Zealand certainly benefited from being a high-income, island country with an advanced health system,"" says Dr Kasai.",0
0.0,0.0,1.0,0.125,0.03062458475341806,0.25,0.405,0.0,0.03062458475341806,"""But they didn’t take anything for granted,” he adds.",0
0.0,0.0,1.0,0.143,0.019887661125386747,0.25,0.384,0.143,0.019887661125386747,“They worked concertedly to limit and stop COVID-19 on their shores and support other countries in the Region.,0
0.0,0.5,0.5,0.167,0.013395301277924567,0.375,0.689,0.214,0.013395301277924567,"”The Government of New Zealand called on the entire population to unite as a “team of 5 million” to protect their families, friends and neighbours.",0
0.0,0.0,-0.45,0.5,0.013589888593880285,0.625,0.823,1.0,0.013589888593880285,Concerned that COVID-19 could be transmitted through New Zealand to Pacific island countries – which are some of the only places still free of COVID-19 – the Ministry of Health and Ministry of Foreign Affairs and Trade worked closely with WHO to support their neighbours in the Pacific.,2
0.0,0.0,1.0,1.0,0.027307362220870487,0.125,0.346,0.0,0.027307362220870487,This included procuring supplies and providing training to health staff within those countries and via remote support.,0
0.0,0.5,0.55,0.333,0.013074550123384201,0.375,0.689,0.214,0.013074550123384201,"The Government of New Zealand called on the entire population to unite as a “team of 5 million” to protect their families, friends and neighbours.",0
0.0,0.0,1.0,1.0,0.033832760630698504,1.0,0.448,0.6,0.033832760630698504,Coronavirus: Inside test-and-trace - how the 'world beater' went wrong.,0
0.0,0.0,0.7,0.5,0.013510405758894471,0.273,0.77,1.0,0.013510405758894471,"Just half of close contacts given to England's NHS Test and Trace are being reached in some areas, a BBC investigation has found.",1
0.0,0.0,0.45,0.333,0.012542742518646628,0.273,0.748,0.4,0.012542742518646628,"Six months after Boris Johnson promised a ""world beating"" system, it can be shown the network is failing in areas with some of the worst infection rates.",0
0.0,0.0,1.0,0.25,0.017784581286638988,0.273,0.421,0.2,0.017784581286638988,The research also found no-one from NHS labs was at a key government meeting with private firms about testing.,0
0.0,0.0,1.0,0.2,0.02806327379736073,0.091,0.476,0.2,0.02806327379736073,"But the government said the system was ""undoubtedly"" curbing Covid spreading.",0
0.0,0.0,0.55,0.167,0.016571835411736117,0.273,0.515,0.6,0.016571835411736117,"It added that NHS Test and Trace was dealing with rising numbers of cases and was working hard to ""refine and improve"" the way it worked.",0
0.0,0.0,0.85,0.143,0.016469400861922927,0.273,0.596,0.0,0.016469400861922927,"The companies and their leaders involved with testing had ""hundreds of years"" of experience in the field, it said.",0
0.0,0.0,-0.85,0.143,0.010564425693658524,0.545,1.0,0.4,0.010564425693658524,"As ministers struggle to get test-and-trace on track, BBC News spoke to key government figures, scientists and health officials who were involved from the very start to establish what went wrong - and, crucially, whether the system can be fixed to hold the virus in check until vaccines come to the rescue.",0
0.0,0.0,0.45,0.167,0.013359495559211057,0.182,0.453,0.0,0.013359495559211057,The investigation found a system performing worst in the areas where it is needed the most and still struggling with the legacy of decisions that were made at the outset.,0
0.0,0.0,0.3,0.2,0.014340244294476815,0.182,0.558,0.2,0.014340244294476815,"Further revelations include the fact that a move to more local contact tracing by councils was being undermined by IT problems, leading to a reliance on spreadsheets and delays getting contact details.",1
0.0,0.0,1.0,0.25,0.02044651680489114,0.364,0.457,0.8,0.02044651680489114,The name NHS Test and Trace sounds like it is one whole service that is part of the NHS.,1
0.0,0.0,0.9,0.333,0.042436184708759116,0.091,0.209,0.0,0.042436184708759116,Nothing could be further from the truth.,0
0.0,0.0,0.9,0.5,0.018670230461713448,0.091,0.411,0.0,0.018670230461713448,"It is a complex web of different programmes, led by the civil service, that have been bolted together rapidly.",0
0.0,0.0,0.3,1.0,0.014446963115974152,0.273,0.644,0.2,0.014446963115974152,"Private firms play a key role in terms of both testing and tracing, which has meant some of the local expertise available in the NHS, universities and councils has been bypassed.",1
0.0,0.0,1.0,1.0,0.02479721601506356,1.0,0.608,0.5,0.02479721601506356,Coronavirus: How to stay cool in a face mask as hot UK weather forecast.,1
0.0,0.0,0.6,0.5,0.017993012439559142,0.182,0.414,0.167,0.017993012439559142,You don't really need the TV weather maps turning red to realise that much of the UK is going to be roasting in temperatures above 30C.,1
0.0,0.0,0.0,0.333,0.01436543813402057,0.364,0.928,0.0,0.01436543813402057,"But as you slip on your favourite summer top and shorts, you may break out in a hot sweat... as you realise you are also likely to be enduring part of your day in a face mask.",0
0.0,0.0,1.0,0.25,0.023273548718639295,0.182,0.567,0.0,0.023273548718639295,"Keeping cool while wearing a facial covering might be more difficult, but we've gathered some tips.",0
0.0,0.0,0.2,0.2,0.013896437544845153,0.182,0.876,0.833,0.013896437544845153,"""We have all got to wear masks here, but there's a few things you can do,"" says consultant dermatologist Dr Adil Sheraz, who works at a London NHS hospital.",1
0.0,0.0,0.85,0.167,0.019926061842707305,0.273,0.621,0.0,0.019926061842707305,"The top tip for him is to choose a mask made from a breathable material, such as cotton or even bamboo.",0
0.0,0.0,-0.2,0.143,0.014867031525483574,0.455,1.0,0.0,0.014867031525483574,"He says although surgical masks - the thin, blue masks that many people are seen wearing - provide protection from spreading the virus, they aren't that breathable and ""they are not the best to use for keeping cool"".",0
0.0,0.0,0.45,0.125,0.015432080344060238,0.273,0.747,0.0,0.015432080344060238,But he adds that one downside to cotton masks is that they absorb more fluid and can get damp - so he suggests taking a spare out on hot days.,0
0.0,0.0,0.95,0.111,0.04287259678251747,0.273,0.457,0.0,0.04287259678251747,The colour of the mask might also help.,0
0.0,0.0,0.9,0.1,0.021954725444172575,0.182,0.882,0.333,0.021954725444172575,"""Consider having a mask that's a lighter colour, rather than a darker one,"" says Dr Sheraz.",0
0.0,0.0,1.0,0.111,0.04007608307373239,0.091,0.519,0.167,0.04007608307373239,"Dark colours absorb more light, converting it into heat.",0
0.0,0.0,1.0,0.125,0.03297158870882451,0.091,0.327,0.0,0.03297158870882451,What about putting your mask in the freezer before you head out in the heat?,0
0.0,0.0,0.75,0.143,0.0672068849855439,0.091,0.213,0.333,0.0672068849855439,Dr Sheraz is unconvinced.,0
0.0,0.0,0.9,0.167,0.04779237348506295,0.091,0.36,0.0,0.04779237348506295,"""It's not a bad idea.",0
0.0,0.0,1.0,0.2,0.022248693183883554,0.273,0.482,0.0,0.022248693183883554,The only thing I was thinking about is you don't want people get cold burns on their faces.,0
0.0,0.0,1.0,0.25,0.04511282949177178,0.091,0.371,0.167,0.04511282949177178,"So I don't think I'd advise that.""",1
0.0,0.0,0.15,0.333,0.01534257858935749,0.182,0.826,1.0,0.01534257858935749,"Dr Anil Budh-Raja, a GP who also offers skin and cosmetic treatments at clinics in Birmingham and Chiswick, suggested a towel which has been put in the freezer could be used as a mask.",1
0.0,0.0,0.45,0.5,0.017188277487138328,0.273,0.462,0.0,0.017188277487138328,The government says a face covering can be anything which safely the covers the nose and mouth - but of course you must be able to tie it in place.,0
0.0,0.0,1.0,1.0,0.03234822488465969,0.091,0.389,0.167,0.03234822488465969,Remember that public towel slips are always embarrassing in the summer heat.,1
0.0,0.0,1.0,1.0,0.03476104365502706,1.0,0.603,0.5,0.03476104365502706,Coronavirus: Global Covid-19 death toll passes one million.,1
0.0,0.0,0.55,0.5,0.01821208896951591,0.5,0.691,0.167,0.01821208896951591,"The number of people worldwide who have died with Covid-19 has passed one million, researchers say, with many regions still reporting surging numbers of new infections.",0
0.0,0.0,0.85,0.333,0.020549016364164698,0.2,0.555,1.0,0.020549016364164698,"The tally by Johns Hopkins University shows that deaths in the US, Brazil and India make up nearly half that total.",1
0.0,0.0,1.0,0.25,0.03640306292329207,0.1,0.314,0.0,0.03640306292329207,Experts caution that the true figure is probably much higher.,0
0.0,0.0,1.0,0.2,0.028975656587115258,0.1,0.381,0.5,0.028975656587115258,"UN Secretary-General António Guterres called it a ""mind-numbing"" figure and ""an agonising milestone"".",1
0.0,0.0,0.9,0.167,0.019656324814240924,0.1,0.802,0.0,0.019656324814240924,"""Yet we must never lose sight of each and every individual life,"" he said in a video message.",0
0.0,0.0,1.0,0.167,0.035249508687863716,0.1,0.381,0.0,0.035249508687863716,"""They were fathers and mothers, wives and husbands, brothers and sisters, friends and colleagues.",0
0.0,0.0,1.0,0.2,0.031811540783152924,0.1,0.286,0.0,0.031811540783152924,"The pain has been multiplied by the savageness of this disease.""",0
0.0,0.5,1.0,0.25,0.02273722412784236,0.2,0.531,0.333,0.02273722412784236,"The development comes nearly 10 months after news of the coronavirus began to emerge from Wuhan, China.",1
0.0,1.0,1.0,0.333,0.025149196754708166,0.2,0.368,0.0,0.025149196754708166,The pandemic has since spread to 188 countries with more than 32 million confirmed cases.,1
0.0,0.0,1.0,0.5,0.02532320280594082,0.2,0.273,0.167,0.02532320280594082,Lockdowns and other measures to try to stop the virus spreading have thrown many economies into recession.,0
0.0,0.0,0.25,1.0,0.012701184007261642,0.6,1.0,0.833,0.012701184007261642,"Meanwhile, efforts to develop an effective vaccine are continuing - although the World Health Organization (WHO) has warned that the death toll could hit two million before one is widely available.",1
0.0,0.0,1.0,1.0,0.03869762519368483,1.0,0.544,0.333,0.03869762519368483,Coronavirus: Belgium facing 'tsunami' of new infections.,1
0.0,0.0,0.8,0.5,0.019372123573380143,0.625,0.917,0.167,0.019372123573380143,"Belgium could soon be overwhelmed by new coronavirus infections, the health minister has warned, amid soaring case numbers across the country.",1
0.0,0.0,0.85,0.333,0.024908357301371076,0.375,0.774,0.333,0.024908357301371076,"Frank Vandenbroucke said new cases were close to a ""tsunami"" where authorities ""no longer control what is happening"".",0
0.0,0.0,1.0,0.25,0.034342307894559124,0.25,0.483,0.333,0.034342307894559124,New measures to try to halt the spread came into force on Monday.,0
0.0,0.0,1.0,0.2,0.04582746885504625,0.125,0.285,0.0,0.04582746885504625,All bars and restaurants are closed for four weeks.,0
0.0,0.0,1.0,0.167,0.026995157271392827,0.375,0.604,0.167,0.026995157271392827,"Infection numbers are climbing throughout Europe, prompting new restrictions across the continent.",0
0.0,0.0,0.65,0.143,0.01803429948273689,0.25,0.786,0.333,0.01803429948273689,"Italy announced a raft of measures on Sunday after recording its highest daily infection rate, while nine major French cities have been placed under curfew.",0
0.0,0.0,0.95,0.125,0.02645127461543384,0.25,0.534,0.333,0.02645127461543384,The Czech Republic - which has the highest infection rate on the continent - is considering a full national lockdown.,0
0.0,0.0,0.85,0.111,0.02036988552283037,0.25,0.55,0.5,0.02036988552283037,And the Republic of Ireland is to move into the highest level of coronavirus restrictions from midnight on Wednesday for six weeks.,0
1.0,0.0,1.0,0.1,0.028583838816609135,0.375,0.576,0.333,0.028583838816609135,Belgium was one of the worst-hit countries during Europe's first wave of coronavirus earlier this year.,0
1.0,0.0,0.6,0.091,0.01854156138619661,0.125,0.713,1.0,0.01854156138619661,"Overall it has the third-highest number of Covid-related deaths per 100,000 people globally, behind only Peru and San Marino, according to Johns Hopkins University data.",0
0.0,0.0,0.2,0.091,0.017179322114940467,0.25,0.872,0.167,0.017179322114940467,"From Monday, under new government restrictions designed to tackle the fresh outbreak, residents will only be allowed to see one other person from outside their household and should work from home if possible.",0
0.0,0.0,0.95,0.1,0.024805452302804974,0.125,0.521,0.0,0.024805452302804974,A curfew is in place from midnight until 05:00 for the next month and alcohol sales are banned from 20:00.,0
0.0,0.0,1.0,0.111,0.02597609009334795,0.25,0.526,0.333,0.02597609009334795,"How new lockdowns are changing life across Europe
Tracking the global pandemic: Where has been hit hardest?",0
0.0,0.0,0.65,0.125,0.025717821635298715,0.125,0.424,0.667,0.025717821635298715,"Mr Vandenbroucke described the situation in the capital Brussels and in the south of the country as ""the most dangerous in all of Europe"".",0
0.0,0.0,0.4,0.143,0.021063781881695002,0.25,0.918,0.167,0.021063781881695002,"The government ""has only one message to the public: protect yourself, protect your loved ones, so as not to be contaminated"", he told broadcaster RTL.",1
1.0,1.0,0.35,0.167,0.015686441133199426,0.5,1.0,0.333,0.015686441133199426,"According to the Belgian health institute Sciensano, Belgium has recorded an average of 7,876 new daily infections over the last seven days, a 79% rise on the previous week.",1
0.0,1.0,1.0,0.2,0.024705751493213215,0.125,0.671,0.167,0.024705751493213215,"Last Tuesday the country reported 12,051 cases in 24 hours, its highest daily figure since the pandemic began.",1
0.0,0.0,1.0,0.25,0.038893849375130365,0.125,0.56,0.333,0.038893849375130365,"Hospitalisations have also risen, with 2,485 people in hospital with Covid-19 on Monday.",0
0.0,0.0,0.7,0.333,0.01887609289429252,0.25,0.757,0.167,0.01887609289429252,"Officials warn that if cases continue to rise at the same rate, Belgium will fill its capacity of 2,000 intensive care beds by mid-November.",0
0.0,0.0,1.0,0.5,0.029249040154113493,0.125,0.743,1.0,0.029249040154113493,"""The situation is serious,"" Prime Minister Alexander De Croo told RTL.",1
0.0,1.0,1.0,1.0,0.029078580983180672,0.125,0.523,0.167,0.029078580983180672,"""It is worse than on March 18 when the lockdown was decided.""",1
0.0,0.0,1.0,1.0,0.040963446034421966,1.0,0.497,0.182,0.040963446034421966,"'Vaccines for all', and Patel 'bullying' row.",1
1.0,0.0,0.45,0.5,0.019328597874482215,0.286,0.691,0.909,0.019328597874482215,Both the Guardian and the Times compare Boris Johnson's refusal to sack Priti Patel to his defence of Dominic Cummings's trip to Barnard Castle during the first lockdown.,1
0.0,0.0,0.45,0.333,0.016571895253435488,0.429,0.479,0.091,0.016571895253435488,"For the Times, the prime minister has again expended political capital by standing by a wounded colleague whom he may yet have to dismiss if further damaging details emerge.",1
1.0,1.0,0.3,0.25,0.015322186949248957,0.429,1.0,0.364,0.015322186949248957,"According to the Guardian, No 10's determination to ""brazen out"" the row is another sign that Mr Johnson sees following the rules as unnecessary for ""his gang"".",1
0.0,0.0,1.0,0.2,0.021565164356815852,0.286,0.557,0.182,0.021565164356815852,"The Daily Star also weighs in, asking what it would take to get sacked from this government.",0
0.0,0.0,1.0,0.167,0.023122699847603685,0.286,0.757,0.364,0.023122699847603685,"However, the Sun argues that Labour's ""indignation is a sham"".",0
0.0,0.0,0.45,0.143,0.01524751773708097,0.571,0.949,0.273,0.01524751773708097,"Fair enough, it says, that Ms Patel has apologised if some staff felt they were being bullied - rather than being urged to ""raise their game"".",0
0.0,0.0,0.35,0.125,0.015372868183688895,0.429,0.722,0.0,0.015372868183688895,"But some bosses, it says, are highly effective while being demanding and blunt - and the home secretary has been busy ""shaking up"" a ""dysfunctional"" department.",0
0.0,0.0,0.75,0.111,0.05392972807574466,0.143,0.222,0.182,0.05392972807574466,The Daily Mail agrees.,0
0.0,0.0,1.0,0.125,0.03542987584188831,0.143,0.186,0.0,0.03542987584188831,It says no one should condone bullying in the workplace.,0
0.0,0.0,0.65,0.143,0.01877532589159766,0.571,0.984,0.364,0.01877532589159766,"But Ms Patel's job requires passion - and not ""haughty Sir Humphreys deploying every trick to impede demanding, but popular, policies"".",1
0.0,0.0,0.85,0.167,0.02168127171525839,0.286,0.587,0.091,0.02168127171525839,"A number of front pages celebrate the prospect of what the i weekend bills as ""Vaccines for all by Easter"".",1
0.0,0.0,0.5,0.2,0.022224137962075566,0.857,0.772,1.0,0.022224137962075566,"So it is ""Covid-19 Jabs For All By Spring"" in the Daily Express, and ""Virus Jabs For All By April"" in the Daily Mirror.",1
0.0,1.0,0.35,0.25,0.01538738934857083,0.714,0.799,0.091,0.01538738934857083,"A leaked timetable has revealed that care home residents and staff, health workers, and people over 80 could get the Pfizer jab, if it is approved, next month.",1
0.0,0.0,0.85,0.333,0.02044616573741372,0.143,0.422,0.273,0.02044616573741372,The Daily Mail reports that the 14-day quarantine rule for people arriving in Britain from most countries will be eased next week.,0
0.0,0.0,0.3,0.5,0.015070316903674575,0.286,0.715,0.0,0.015070316903674575,"The paper says ministers have approved a plan to cut the isolation time to just five days, after which travellers would face tests for the virus that return results within an hour.",0
0.0,0.0,0.9,1.0,0.02226772564382661,0.143,0.68,0.182,0.02226772564382661,"A Whitehall source tells the Mail the move could ""make a huge difference"" to the aviation and travel industries.",1
0.0,0.0,1.0,1.0,0.05270419158442852,1.0,0.139,0.154,0.05270419158442852,Coronavirus vaccines: Will any countries get left out?,1
0.0,0.0,1.0,0.5,0.03232658260954716,0.125,0.268,0.077,0.03232658260954716,Health experts say the only solution to the coronavirus pandemic is a global one.,0
0.0,0.333,0.9,0.333,0.034197019591403026,0.125,0.299,0.0,0.034197019591403026,There have been more than 55 million cases of the virus confirmed around the world and more than 1.3 million deaths.,0
0.0,0.0,1.0,0.25,0.04362527603939743,0.125,0.132,0.0,0.04362527603939743,Many hopes are pinned on a vaccine as a solution.,0
0.0,0.0,1.0,0.2,0.03952918118902447,0.25,0.319,0.0,0.03952918118902447,But there are concerns that poorer nations could get left behind.,0
0.0,0.0,0.65,0.167,0.021641194137948593,0.0,0.342,0.0,0.021641194137948593,We have spoken to the experts about the main concerns that lie ahead and whether efforts to come up with a fair system will actually work.,0
0.0,0.0,0.25,0.143,0.01583408970914449,0.125,0.37,0.0,0.01583408970914449,"The rush to buy in advance
Early results indicate that at least two vaccines are highly effective, several others have reached late-stage trials, and many more are at some stage of development.",0
0.0,0.0,1.0,0.125,0.02361375427223911,0.25,0.304,0.0,0.02361375427223911,"None of these vaccines has been approved yet, but that hasn't stopped countries purchasing doses in advance.",0
